buchstabe	{'06828818-n'}
könig	{'10231515-n'}
imperator	{'10053004-n'}
zar	{'09987239-n'}
schah	{'10585496-n'}
pedalieren	{'03903424-n'}
lenker	{'03487090-n'}
tandem	{'02835271-n'}
sendung	{'06276697-n'}
kontraktion	{'00369802-n'}
organ	{'05297523-n'}
vetternwirtschaft	{'01153548-n'}
hunger	{'14039534-n'}
emmer	{'12143215-n'}
dinkel	{'12143065-n'}
hartweizen	{'12142450-n'}
umfang	{'06697331-n', '05090441-n'}
katzenminze	{'12859986-n'}
amsterdam	{'08949737-n'}
rotterdam	{'08950907-n'}
maas	{'09353437-n'}
rhein	{'09408540-n'}
utrecht	{'08951278-n'}
kiebitz	{'02024763-n'}
einbringen	{'00320852-n'}
buganda	{'09043411-n'}
bridge	{'02898711-n'}
spannweite	{'02898711-n'}
stock	{'04317420-n'}
antihypertonikum	{'02721160-n'}
bier	{'07886849-n'}
zimmer	{'04105893-n'}
bett	{'02818832-n'}
luchs	{'02127052-n'}
daten	{'08462320-n'}
vernichten	{'01619929-v'}
zerstört	{'01619929-v'}
aufzeichnung	{'06636524-n'}
prägen	{'13388245-n'}
dalmatiner	{'09988918-n'}
gitter	{'03458552-n', '03646916-n'}
anpassung	{'13427078-n'}
multimedia	{'06261744-n'}
meteoroid	{'09353109-n'}
meteor	{'11483990-n', '09353109-n'}
narkolepsie	{'14307468-n'}
perikarditis	{'14339682-n'}
myokarditis	{'14339387-n'}
endokarditis	{'14339094-n'}
pankarditis	{'14339536-n'}
stab	{'07267160-n', '04296261-n'}
verbeugung	{'07274425-n'}
neapolitanisch	{'10350666-n'}
ausstrahlung	{'06254007-n'}
pharao	{'10421016-n'}
stout	{'07890352-n'}
mahlzeit	{'07573696-n'}
detektor	{'03181501-n'}
bukarest	{'08814474-n'}
pfosten	{'03798268-n', '03988170-n'}
nase	{'05658826-n'}
carjacking	{'01472417-v'}
wermut	{'11929477-n'}
waldmeister	{'12661538-n'}
verfahren	{'05660268-n', '01184814-n'}
kakaobaum	{'12201580-n'}
niob	{'14646942-n'}
tantal	{'14656666-n'}
belagerung	{'01075117-n'}
slalom	{'01939037-v'}
steinbrech	{'12793015-n'}
arbeiter	{'10481711-n', '10241300-n'}
schiffskiel	{'09236077-n'}
kleinhirn	{'05485554-n'}
nachhirn	{'05500812-n'}
metencephalon	{'05481997-n'}
bantu	{'06991980-n'}
surikate	{'02138777-n'}
diarrhö	{'14371913-n'}
saugwurm	{'01925695-n'}
hartwurm	{'01690149-n'}
blindschleiche	{'01690149-n'}
quorum	{'08357992-n'}
flugsaurier	{'01722998-n'}
quecksilber	{'14645346-n'}
schmuckschildkröte	{'01668892-n'}
plankton	{'01383638-n'}
gnitze	{'02202678-n'}
pterodaktylus	{'01723579-n'}
archosaurier	{'01695681-n'}
schörl	{'15020905-n'}
ardennen	{'08941681-n'}
ulaanbaatar	{'08969123-n'}
gobi	{'09169801-n'}
lichtnussbaum	{'12927494-n'}
alken	{'14713120-n'}
sittich	{'01821203-n'}
müller	{'10614812-n'}
québec	{'08829317-n'}
montréal	{'08829533-n'}
vertrag	{'07175241-n'}
khartum	{'09030210-n'}
sudanese	{'09732170-n'}
darfur	{'09029884-n'}
jahrestag	{'15249799-n'}
paris	{'08932568-n'}
brühe	{'07585208-n'}
gazpacho	{'07585758-n'}
borschtsch	{'07584423-n'}
fischsuppe	{'07587441-n'}
gumbo	{'07585906-n'}
minestrone	{'07586894-n'}
kretinismus	{'14121667-n'}
myxödem	{'14121500-n'}
yamswurzel	{'12087961-n'}
cayenne	{'07822518-n'}
gerüst	{'03391770-n', '04479694-n'}
kubistisch	{'09982013-n'}
recht	{'05174653-n'}
pink	{'04971313-n'}
nelke	{'04971211-n'}
schierling	{'12935609-n', '11627168-n'}
nachbarschaft	{'08225090-n'}
knapp	{'03511426-n'}
schuhspitze	{'04444749-n'}
stiefelschaft	{'02874642-n'}
knobelbecher	{'03516844-n'}
erklärung	{'06725877-n', '06738281-n'}
bissau	{'08948027-n'}
beitrag	{'00586262-n'}
arbeitsplatz	{'00586262-n'}
stellen	{'08621598-n', '03313602-n', '00586262-n'}
lama	{'02437616-n', '02437825-n'}
tragödie	{'07016948-n'}
flasche	{'02876657-n'}
lese	{'07892418-n'}
masern	{'14123044-n'}
corgi	{'02112826-n'}
behältnis	{'03094503-n', '04531098-n'}
pferd	{'02374451-n'}
ammoniak	{'14743582-n'}
sturmtaucher	{'02060411-n'}
oxidase	{'14971234-n'}
windische	{'09731343-n'}
slowenisch	{'09749753-n'}
ljubljana	{'08818736-n'}
pfannkuchen	{'07640203-n'}
aräometer	{'03553486-n'}
personenkraftwagen	{'02958343-n'}
lehre	{'06185955-n'}
känozoikum	{'15124361-n'}
kuwait	{'08929243-n', '08929555-n'}
kuwaiter	{'09719653-n'}
cabochon	{'14700046-n'}
leiter	{'03088707-n', '14821043-n'}
leitung	{'03946325-n', '03604843-n'}
platane	{'12806732-n'}
codein	{'03062461-n'}
torah	{'06451891-n'}
antlitz	{'05600637-n'}
fell	{'14764061-n'}
phönizier	{'06989473-n'}
toluol	{'15075378-n'}
pistole	{'03948459-n'}
nachthemd	{'03824999-n', '03824381-n'}
ebene	{'09393605-n', '03954731-n'}
wochentag	{'15163157-n'}
tafel	{'02856463-n'}
dardanellen	{'09041371-n'}
konstantinopel	{'09041785-n'}
smyrna	{'09042322-n'}
chemisch	{'14806838-n'}
ararat	{'09203032-n'}
istanbul	{'09041785-n'}
ankara	{'09040601-n'}
schulterhöhe	{'05280365-n'}
wachstum	{'13489037-n', '14234074-n'}
ammonium	{'14744120-n'}
quark	{'09401834-n'}
matrix	{'05582305-n'}
meson	{'09352282-n'}
kollagen	{'05287090-n'}
antiquark	{'09200317-n'}
faserknorpel	{'05288593-n'}
astrolabium	{'02751215-n'}
taschentuch	{'02786198-n'}
rettung	{'00093483-n'}
protestantismus	{'06228549-n'}
objekt	{'05810948-n'}
fotografie	{'03925226-n'}
einwirkung	{'03925226-n'}
abbildung	{'03925226-n', '04076846-n', '05926676-n'}
orion	{'09380117-n'}
erde	{'09335240-n'}
reithose	{'02902816-n'}
schießbaumwolle	{'14794993-n'}
nitroglyzerin	{'14886579-n'}
redensart	{'07069948-n'}
auerhuhn	{'01797020-n'}
formaldehyd	{'14873196-n'}
methanal	{'14873196-n'}
acetaldehyd	{'14711008-n'}
ethanal	{'14711008-n'}
propionaldehyd	{'14998042-n'}
propanal	{'14998042-n'}
furfural	{'14876473-n'}
garten	{'03417345-n'}
weide	{'08616050-n'}
sehnsucht	{'07487375-n'}
dermatomyositis	{'14209348-n'}
polymyositis	{'14209635-n'}
darstellung	{'04076846-n', '05926676-n'}
phenol	{'14989545-n'}
albanien	{'08704822-n'}
bewertung	{'05733583-n'}
tonscherbe	{'03992436-n'}
strukturalismus	{'06168152-n'}
verzehr	{'00838367-n'}
fressen	{'00838367-n'}
melodie	{'07028373-n'}
wiese	{'08598301-n', '08570634-n'}
hafen	{'08639058-n', '08633957-n'}
tätigkeitswort	{'06318062-n'}
gewehr	{'03467984-n', '04090263-n'}
kruste	{'09260010-n'}
erdmantel	{'09346450-n'}
geld	{'13384877-n'}
münzprägung	{'13387877-n'}
bargeld	{'13386614-n'}
hafer	{'12109827-n'}
prärielilie	{'12449296-n'}
quamash	{'12449296-n'}
basilikum	{'12860365-n'}
ausbeutung	{'00418903-n'}
neokolonialismus	{'00426757-n'}
verwendung	{'00418903-n'}
charakter	{'05929008-n'}
futter	{'01178565-v', '07800091-n'}
denver	{'09068107-n'}
arkansas	{'09206375-n'}
republikaner	{'09407632-n'}
empfängnis	{'07328942-n'}
bestäubung	{'07437372-n'}
minister	{'10570019-n'}
tamariske	{'12386462-n'}
weitsichtigkeit	{'14555214-n'}
presbyopie	{'14555214-n'}
yttrium	{'14661740-n'}
pagode	{'03874965-n'}
pantheon	{'03884778-n'}
bikini	{'02837789-n'}
hypothyreose	{'14121276-n'}
kibbuznik	{'10230335-n'}
oxid	{'14971519-n'}
glucocorticoid	{'14752057-n'}
stäbchen	{'05456456-n'}
zapfen	{'05456257-n'}
fovea	{'05455375-n'}
aktionär	{'10657969-n'}
stammvater	{'09792555-n'}
dendrit	{'05469861-n'}
axon	{'05468849-n'}
karthago	{'08919949-n'}
pflaume	{'07751451-n'}
mandarin	{'12709901-n'}
ralle	{'02014941-n'}
kokytos	{'09248724-n'}
styx	{'09449773-n'}
mohn	{'11900986-n', '11900569-n'}
schüssel	{'07557434-n'}
roboter	{'02761392-n', '02710201-n'}
tragfläche	{'02688443-n'}
anhang	{'06399631-n'}
maschine	{'10278666-n', '03699975-n'}
prozessor	{'02995345-n'}
hardware	{'03493333-n'}
großrechner	{'02995345-n'}
triebwagen	{'02959942-n'}
luft	{'14841267-n'}
bö	{'11514008-n', '11465017-n'}
brise	{'11431754-n'}
monsun	{'11484570-n'}
blasen	{'00855301-n', '11465017-n'}
paradoxon	{'06724559-n'}
phonem	{'07111711-n'}
lüge	{'06756407-n'}
falschheit	{'06756407-n'}
adler	{'09202142-n', '13392472-n'}
grob	{'14799244-n'}
amerikaner	{'09738708-n'}
panzytopenie	{'13973769-n'}
pillenfarn	{'12958261-n'}
hypermenorrhoe	{'13513540-n'}
tauchboot	{'04348359-n', '04348184-n'}
aponeurose	{'05582690-n'}
opsin	{'14735077-n'}
retinal	{'15005386-n'}
unpaarhufer	{'02373336-n'}
fledermaus	{'02139199-n'}
werfen	{'00104539-n'}
biotit	{'14668743-n'}
phlogopit	{'14690790-n'}
zinnwaldit	{'15109016-n'}
saccharose	{'15062778-n'}
lactose	{'14929462-n'}
maltose	{'14946618-n'}
toronto	{'08828432-n'}
niagara	{'09370773-n'}
hamilton	{'08827689-n'}
auflage	{'06590446-n'}
sekretär	{'10569744-n', '04164868-n'}
tausendfüßler	{'01786646-n'}
branntwein	{'07903208-n'}
mittsommer	{'15222012-n'}
babylonisch	{'06352446-n'}
sandwich	{'07698401-n', '07695965-n', '07696527-n'}
cheeseburger	{'07697313-n'}
würzsauce	{'07582441-n', '07810907-n'}
vermessen	{'00996969-n'}
konstruktivistisch	{'09959658-n'}
glauben	{'05941423-n'}
häresie	{'05980412-n'}
schwärmer	{'02298541-n'}
willkommen	{'06631322-n'}
mischna	{'06462807-n'}
brownie	{'09540739-n'}
sehr	{'00415676-n'}
lambertshasel	{'12289433-n'}
nouakchott	{'08967176-n'}
mauretanier	{'09722399-n'}
reisender	{'10718131-n'}
entflammbarkeit	{'04712568-n', '04712405-n'}
tranquilizer	{'04470232-n'}
oxazepam	{'03867675-n'}
buspiron	{'02926044-n'}
hydroxyzin	{'03554131-n'}
bohrer	{'03239726-n', '01443021-v'}
skateboard	{'04225987-n'}
snowboard	{'04251791-n'}
schimpanse	{'02481823-n'}
gangster	{'10120085-n'}
erdrutsch	{'07405411-n', '07404944-n'}
lotos	{'11715810-n'}
pongo	{'02480346-n'}
ruf	{'14438788-n'}
ehre	{'14436875-n'}
orchidee	{'12041446-n'}
macchie	{'08360849-n'}
bulgur	{'07803408-n'}
melde	{'11830906-n'}
gartenmelde	{'11830714-n'}
geheimdienst	{'00981830-n'}
spionageabwehr	{'00654683-n'}
beintastler	{'02163763-n'}
mönch	{'10112129-n'}
schüttelfrost	{'14340462-n'}
rind	{'02403454-n'}
ochse	{'02403231-n'}
bulle	{'02403325-n'}
kalb	{'01887896-n', '14761334-n'}
dumm	{'02402010-n'}
roseau	{'08763387-n'}
neurochirurgie	{'00688915-n'}
singen	{'01729431-v', '01254685-n', '00545501-n'}
ansprache	{'07238694-n'}
wolle	{'04599235-n'}
filzen	{'03326795-n'}
seide	{'04219424-n'}
leinen	{'02953673-n'}
geflecht	{'03819595-n'}
minze	{'12855042-n'}
keton	{'14926294-n'}
verhütungsmittel	{'03096593-n'}
verhinderung	{'03096593-n'}
cajun	{'09677280-n'}
muskel	{'05289297-n'}
stachelbeere	{'07744430-n'}
kreuzotter	{'01752165-n'}
lyse	{'13509528-n'}
einlage	{'03338009-n'}
stumpen	{'03014119-n'}
wortstamm	{'06294941-n'}
feld	{'05996646-n', '08569998-n'}
stoma	{'00689550-n'}
columbia	{'09106502-n'}
weiße	{'09478355-n'}
feuerwerk	{'03348454-n'}
jugoslawien	{'08816236-n'}
rubin	{'15008142-n'}
saphir	{'15019483-n'}
tonerde	{'14823944-n'}
kieferorthopäde	{'10384610-n'}
puzzle	{'04028315-n'}
endoskopie	{'00642045-n'}
antimon	{'14628668-n'}
aden	{'09164903-n'}
gefängnis	{'04005630-n'}
dhoti	{'03186199-n'}
entdecker	{'10072708-n'}
abenteurer	{'10072708-n'}
enthaltsamkeit	{'01068773-n'}
nahrung	{'07555863-n', '01070187-n'}
ramadan	{'01243089-n'}
ausatmung	{'00835267-n'}
ausbildung	{'00611433-n'}
literatur	{'00610592-n'}
kaskade	{'09475292-n'}
kopie	{'03104594-n', '03562126-n'}
wirtschaftswissenschaft	{'06149484-n'}
religiosität	{'04826999-n'}
anode	{'02714315-n'}
kathode	{'02984699-n'}
umhang	{'03045337-n'}
birkenfeige	{'12401122-n'}
prediger	{'10464178-n'}
empfindung	{'07480068-n'}
verliebtheit	{'07544351-n'}
agape	{'07543910-n'}
verehrung	{'07501420-n'}
homonym	{'06292649-n'}
symbol	{'05765415-n', '06795746-n', '06806469-n'}
tisch	{'04379243-n'}
papa	{'09988063-n'}
elternteil	{'10399491-n'}
papi	{'09988063-n'}
sturmvogel	{'02059162-n'}
vorhersage	{'06748969-n'}
rösten	{'07686873-n'}
hyperbilirubinämie	{'14318927-n'}
verschlüsselung	{'00615887-n'}
entschlüsselung	{'00617059-n'}
samurai	{'08388966-n'}
krieger	{'10768585-n'}
berberitze	{'11697560-n'}
hobel	{'03954731-n'}
fremdenführer	{'10151570-n'}
magnetismus	{'11479058-n'}
einberufung	{'01158064-n'}
partnerschaft	{'08060694-n'}
sansibar	{'09035458-n'}
tanganjika	{'09035305-n'}
tansanier	{'09734185-n'}
pektin	{'14978232-n'}
goldspecht	{'01839598-n'}
kleistogamie	{'07439167-n'}
fahrer	{'10034906-n', '10035430-n'}
mutter	{'10332385-n'}
ferrit	{'14859201-n'}
zementit	{'14805145-n'}
kümmel	{'12934479-n'}
präfix	{'06308304-n'}
infix	{'06309272-n'}
nachtfalke	{'01836384-n'}
verbrennung	{'13450206-n', '00378069-n'}
sünde	{'00757080-n'}
chorioretinitis	{'14354847-n'}
mädchen	{'10129825-n'}
kloster	{'03396580-n', '04073948-n'}
abtei	{'02667379-n'}
albinismus	{'14152279-n'}
vanessa	{'02275921-n'}
dura	{'05482529-n'}
berufskolleg	{'08278324-n'}
beluga	{'02640857-n'}
progesteron	{'14746048-n'}
israel	{'08792295-n', '08792548-n'}
gleiten	{'07404944-n', '00303495-n'}
lahar	{'07405292-n'}
pistazie	{'12761702-n'}
mastixstrauch	{'12762049-n'}
plejaden	{'09549758-n'}
gartenrotschwanz	{'01561452-n'}
krait	{'01751036-n'}
partikel	{'14585519-n'}
manubrium	{'05281584-n'}
blockflöte	{'03343354-n'}
quäker	{'09679708-n'}
echsenbeckensaurier	{'01708106-n'}
blase	{'05512139-n'}
drehbuch	{'07012279-n'}
drama	{'06376154-n'}
mikroorganismus	{'01326291-n'}
aufklärung	{'00985106-n'}
kognak	{'07903208-n', '07903841-n'}
tau	{'04108268-n'}
spermium	{'05457469-n'}
sperma	{'05457469-n'}
suite	{'07047011-n'}
verbot	{'02796995-n'}
trochanter	{'05574151-n'}
zweier	{'13743269-n'}
ramie	{'12393269-n'}
polydipsie	{'14040966-n'}
ruhen	{'04081044-n'}
predigt	{'07243837-n'}
schwefel	{'14656219-n', '14785325-n'}
maräne	{'02539573-n'}
süßholz	{'12532886-n'}
bison	{'07663492-n', '02407959-n', '02410509-n', '02410702-n'}
amerika	{'09044862-n'}
meteorologie	{'06118563-n'}
pflanzen	{'12212361-n', '00017222-n'}
übung	{'00894552-n'}
kakadu	{'01819115-n'}
serbisch	{'09751076-n'}
kroaten	{'09751256-n'}
nagetier	{'02329401-n'}
zement	{'14704640-n'}
kleister	{'14704966-n'}
epoxid	{'14902733-n'}
verfassung	{'06533648-n'}
anolis	{'01682714-n'}
matrose	{'10294602-n'}
fan	{'10077593-n'}
haare	{'09838895-n'}
spriet	{'04289449-n'}
chrom	{'14635092-n'}
toleranz	{'04637923-n'}
klang	{'07371293-n'}
zischen	{'07384898-n'}
zusammenkunft	{'08310389-n'}
whisky	{'07906284-n'}
nach	{'01998432-v'}
milbe	{'01779629-n'}
markt	{'01097292-n'}
drossel	{'01557185-n'}
kondensation	{'11446242-n'}
arioso	{'07087508-n'}
gestaltung	{'00925207-n'}
ragout	{'07592656-n'}
eintopf	{'07590611-n'}
rad	{'01935476-v'}
pedal	{'01935476-v'}
fahrrad	{'01935476-v'}
motorrad	{'01935476-v'}
mutti	{'10278128-n'}
mama	{'10278128-n'}
rotauge	{'01442450-n'}
venus	{'01957739-n'}
teufelszwirn	{'12825497-n'}
zytokinese	{'13504497-n'}
karyokinese	{'13504739-n'}
prophase	{'13542374-n'}
metaphase	{'13515149-n'}
telophase	{'13565940-n'}
kleinbuchstabe	{'06824757-n'}
typ	{'06825120-n'}
leerzeichen	{'06839190-n'}
pocken	{'14124232-n'}
bleistift	{'14796748-n'}
konferenz	{'07142566-n'}
lusaka	{'09165996-n'}
debatte	{'00714884-v'}
störung	{'14083790-n', '14052403-n'}
anglesey	{'08895928-n'}
waliser	{'09747329-n'}
cardiff	{'08895386-n'}
debattiert	{'00714884-v'}
zusammenfassung	{'06468951-n', '06467007-n'}
abkürzung	{'06468123-n'}
simvastatin	{'04221994-n'}
pravastatin	{'03997980-n'}
atorvastatin	{'02754421-n'}
rund	{'01858910-v'}
kommen	{'13129165-n', '01849221-v'}
wechseln	{'02088241-v'}
aufstellen	{'04038440-n'}
wellhornschnecke	{'01947396-n'}
verschönern	{'03169390-n'}
vorfahre	{'10102369-n'}
vorfahr	{'10126806-n'}
aflatoxin	{'14714645-n'}
auftritt	{'06891493-n'}
tsunami	{'07349299-n'}
citrin	{'14813067-n'}
amethyst	{'14722589-n'}
skulptur	{'04157320-n'}
kellner	{'10763383-n'}
diskriminierung	{'01153548-n'}
steigerung	{'00363260-n'}
rättin	{'02331046-n'}
maus	{'02330245-n'}
biber	{'02363005-n'}
schläfer	{'02352591-n'}
capybara	{'02365480-n'}
eichhörnchen	{'02355227-n'}
hausmeerschweinchen	{'02364520-n'}
bisamratte	{'02338145-n'}
hamster	{'02342885-n'}
baumstachler	{'02346627-n'}
chinchilla	{'02367492-n'}
oberlippenbart	{'05262185-n'}
dreitagebart	{'05263183-n'}
schnurrbart	{'05262185-n'}
kinnbart	{'05263029-n'}
wasserratte	{'02366959-n'}
nutria	{'02366959-n'}
wachs	{'15094294-n'}
studium	{'05996646-n'}
tanz	{'01708676-v', '07020538-n', '00428270-n'}
oboe	{'03838899-n'}
supermarkt	{'04358707-n'}
stopp	{'01860795-v'}
hymenopteren	{'02205896-n'}
kriegsschiff	{'04552696-n'}
gebiet	{'08556491-n', '05996646-n'}
atopie	{'14532250-n'}
oxydul	{'14954601-n'}
wasserhanf	{'11968931-n'}
periskop	{'03917048-n'}
sonar	{'04259771-n'}
nautilus	{'03811295-n'}
schnorchel	{'04250850-n'}
fluorid	{'14871601-n'}
bromid	{'14785625-n'}
iodid	{'14922371-n'}
kochsalz	{'05717342-n', '15010703-n'}
thorium	{'14658109-n'}
marihuana	{'12397210-n'}
erzählung	{'06369829-n'}
palisanderholz	{'12522493-n'}
proletariat	{'08180639-n', '10481711-n'}
antibiotisch	{'02716866-n'}
nische	{'04061969-n'}
parser	{'06577369-n'}
hamadryade	{'09551260-n'}
erwähnen	{'06766190-n'}
elefantenkuh	{'02503517-n'}
gaststätte	{'04081281-n'}
eisenbahner	{'10722758-n'}
schäferhund	{'02104523-n'}
bongo	{'02424085-n', '02869737-n'}
berlin	{'08769645-n'}
deutscher	{'09747722-n'}
informant	{'10205985-n'}
antigen	{'15037339-n'}
leute	{'10287213-n'}
handwerker	{'09974648-n'}
paarung	{'00847340-n'}
konstruktion	{'04341686-n'}
gesims	{'03111041-n'}
blutung	{'14288235-n'}
viereck	{'13879126-n'}
rechteck	{'13883346-n'}
wasserfall	{'09236957-n'}
katarakt	{'09237918-n'}
arterie	{'05333777-n'}
busch	{'13112664-n'}
wiederkäuer	{'02399000-n'}
elch	{'02432983-n'}
geweih	{'01325658-n'}
muntjak	{'02434954-n'}
kitz	{'02430830-n'}
sikahirsch	{'02431976-n'}
sambar	{'02431628-n'}
wapiti	{'02431785-n'}
rübe	{'11832214-n'}
scharfschütze	{'10294953-n'}
desoxyribose	{'14833514-n'}
monosaccharid	{'14954284-n'}
mehrfachzucker	{'14969044-n'}
ribose	{'14696331-n'}
oxford	{'03868509-n'}
gebiss	{'02844714-n'}
maputo	{'08971554-n'}
mosambikaner	{'09723689-n'}
stativ	{'04038440-n'}
assoziation	{'13435152-n'}
korund	{'14672717-n'}
lanze	{'04270891-n'}
geschoss	{'04008634-n'}
screening	{'04153330-n'}
schrei	{'07120524-n'}
veilchen	{'04970758-n'}
mauve	{'04970544-n'}
fortbewegung	{'00283127-n'}
sprint	{'00294452-n'}
drogenhändler	{'10474446-n'}
schöllkraut	{'11903671-n'}
phonograph	{'04064401-n'}
zedernholz	{'11623105-n'}
arthrose	{'14188238-n'}
gicht	{'14188804-n'}
alhambra	{'02696669-n'}
viskose	{'14965780-n'}
zimmerpflanze	{'13083023-n'}
blech	{'02891788-n'}
gummi	{'04116512-n', '15006258-n'}
kebap	{'07869775-n'}
gleis	{'04048568-n'}
ware	{'03748886-n'}
rechtschreibung	{'06353445-n'}
implantat	{'03563710-n'}
statin	{'03676175-n'}
diversität	{'04751305-n'}
plaudern	{'07134850-n'}
organelle	{'05445668-n'}
bewusstsein	{'05677952-n'}
ich	{'05675601-n'}
cholesterin	{'15058544-n'}
synchrotron	{'04375775-n'}
kodex	{'06667317-n', '06407372-n'}
patchwork	{'03898633-n'}
molch	{'01631663-n', '01630284-n'}
satyagraha	{'01243262-n'}
schmecken	{'05715283-n'}
vanille	{'05716462-n'}
spiegel	{'03773035-n'}
beweglichkeit	{'04773761-n'}
anordnung	{'05075602-n', '07938773-n'}
stabilität	{'04738641-n'}
körnchen	{'09290777-n'}
manuskript	{'06407221-n'}
jakobsmuschel	{'01965889-n'}
öllampe	{'03636248-n'}
stelle	{'08621598-n', '00586262-n', '06208751-n'}
ameisenbär	{'02460009-n'}
nephron	{'05247178-n'}
verschlechtern	{'00092293-v'}
arthroplastik	{'00666733-n'}
rechenschaft	{'06738281-n'}
mikrochip	{'03020034-n'}
denken	{'00628491-v'}
finden	{'00628491-v'}
intelligenz	{'05617606-n'}
radiologie	{'00903309-n'}
ghostwriter	{'10128748-n'}
brett	{'02857023-n', '02856463-n'}
montevideo	{'09160571-n'}
uruguayer	{'09746936-n'}
banner	{'04301140-n'}
einsicht	{'05805475-n'}
erleuchtung	{'05807933-n'}
gingerol	{'15033063-n'}
triose	{'14689817-n'}
aldose	{'14710662-n'}
azalee	{'12245319-n'}
genuesisch	{'10123415-n'}
strömung	{'07406765-n'}
charybdis	{'07433336-n'}
straße	{'04097622-n', '04334599-n'}
impfung	{'00823884-n', '00828990-n'}
poesie	{'07092592-n'}
motor	{'03287733-n'}
wiederherstellung	{'00268557-n'}
quacksalber	{'10497202-n'}
schwindler	{'09998101-n'}
triebwerk	{'03789946-n'}
wollmispel	{'12629666-n'}
lincoln	{'09109882-n'}
omaha	{'09110229-n'}
japan	{'03593362-n'}
feuerfisch	{'02643566-n'}
bedürfnis	{'14493716-n'}
gelee	{'07643981-n'}
nebengebäude	{'03859280-n'}
morchel	{'13032115-n'}
ruander	{'09749509-n'}
hutu	{'09693100-n'}
tutsi	{'09693809-n'}
kigali	{'08815346-n'}
fallschirmjägertruppe	{'08390374-n'}
gott	{'09505418-n'}
fechterschnecke	{'01943899-n'}
anthropologie	{'06143546-n'}
schaltung	{'03033362-n'}
minsk	{'09011518-n'}
gomel	{'09011679-n'}
whistleblower	{'10777400-n'}
kitzler	{'05523420-n'}
urethra	{'05513020-n'}
schiefertafel	{'04234670-n'}
natur	{'09393605-n'}
filander	{'01879217-n'}
verbrauchermarkt	{'03555426-n'}
steroid	{'14745635-n'}
testosteron	{'14748577-n'}
androsteron	{'14747981-n'}
sinn	{'06601327-n', '05919866-n'}
kriminell	{'09977660-n'}
bande	{'08244062-n'}
calcit	{'14935751-n'}
calcium	{'14632648-n'}
persien	{'08910668-n'}
wissenschaftler	{'10560637-n'}
ehren	{'06696483-n'}
tongaer	{'09750410-n'}
jordan	{'09321901-n'}
judäa	{'08799271-n'}
philistäa	{'08799706-n'}
samaria	{'08799462-n'}
juda	{'08799123-n'}
bioassay	{'05740300-n'}
probe	{'00791078-n'}
sklaverei	{'13997253-n', '13998014-n'}
leibeigene	{'13997253-n'}
solidus	{'13389194-n'}
avers	{'03840507-n'}
kopf	{'03501811-n'}
real	{'13389577-n'}
zürgelbaum	{'12409231-n'}
bienenwachs	{'15094824-n'}
walrat	{'15095389-n'}
carnaubapalme	{'12588584-n', '12588320-n'}
ceresin	{'14805322-n'}
posaune	{'04123123-n', '04487394-n'}
unsterblichkeit	{'15144094-n'}
torero	{'09836160-n'}
feministisch	{'10084635-n'}
strafe	{'13300555-n'}
überlieferungen	{'05985381-n'}
märchen	{'07222050-n'}
ernährung	{'01178565-v', '07561112-n'}
studierende	{'10557854-n'}
parabolantenne	{'03207305-n'}
veranda	{'03984381-n', '03637480-n'}
reich	{'08405603-n', '08405723-n', '07940552-n'}
abteilung	{'08220891-n'}
subphylum	{'08103299-n'}
sport	{'00523513-n'}
zuhören	{'02169891-v', '00882159-n'}
lauschen	{'02169891-v'}
tier	{'00015388-n'}
kaulquappe	{'02469472-n'}
tuch	{'03309808-n'}
skorpion	{'09426143-n'}
schlange	{'08430203-n'}
blockade	{'00954086-n'}
zeichnung	{'03234306-n', '01690294-v'}
lindwurm	{'09503486-n'}
schafgarbe	{'11916696-n'}
pinscher	{'02106966-n'}
denkmal	{'03743902-n'}
bauchfüßer	{'01942177-n'}
napfschnecke	{'01948573-n'}
hinterkiemerschnecken	{'01950195-n'}
mitglied	{'10307234-n'}
gemeinderat	{'09944677-n'}
dubliner	{'09715427-n'}
viertel	{'08627919-n'}
zentral	{'02994858-n'}
sauer	{'05716744-n', '07918028-n'}
manhattan	{'07915618-n'}
martini	{'07916041-n'}
schicklichkeit	{'04898437-n'}
kornblume	{'11947802-n'}
bulgarien	{'08714132-n'}
panzer	{'02739668-n', '03886053-n'}
brustpanzer	{'02895154-n'}
nachtigall	{'01560105-n'}
verwaltung	{'01133281-n'}
korinthe	{'07752966-n'}
diener	{'10292192-n', '10582154-n'}
instrumentation	{'07038615-n'}
instrumentieren	{'07038910-n'}
bass	{'02803349-n'}
bewegt	{'00124442-v'}
ichthyosaurier	{'01724231-n'}
stadion	{'04295881-n'}
biographie	{'06515827-n'}
mädchenaugen	{'11957678-n'}
regnen	{'11501381-n'}
lavendel	{'12849717-n'}
karacke	{'02968210-n'}
schurke	{'10753546-n'}
hochebene	{'09453008-n'}
promenade	{'04010205-n'}
mondviole	{'11891541-n'}
perkussion	{'00876239-n'}
erlaubnis	{'02444662-v'}
winter	{'15237782-n'}
sommer	{'15237250-n'}
fallen	{'15236859-n'}
frühling	{'15237044-n'}
herbst	{'15236859-n'}
präzisionsschütze	{'10294953-n'}
enttäuschung	{'07540602-n'}
ode	{'06383659-n'}
peking	{'08724726-n'}
tschador	{'02998841-n'}
nanking	{'08728066-n'}
jangtse	{'09481523-n'}
brahmaputra	{'09228144-n'}
amur	{'09196103-n'}
guangzhou	{'08725454-n'}
tianjin	{'08728882-n'}
